GLA area 2021,,,,,,,,,,,,,,
_Collision Id,Borough Name,Borough Number,Easting,Northing,_Casualty Id,_Casualty Class,Casualty Gender,Casualty Age (5 Year Bands),Casualty Age,_Casualty Count,_Casualty Severity,Pedestrian Location,Pedestrian Movement,Casualty Mode of Travel
1210287691,Croydon,20,529391,161699,1,Driver/Rider,Male,50-54,54,1,Slight,Not Applicable,Not Applicable,Car
1210287691,Croydon,20,529391,161699,2,Driver/Rider,Female,70-74,73,1,Slight,Not Applicable,Not Applicable,Car
1210287692,Greenwich,6,541519,174610,1,Driver/Rider,Male,35-39,35,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287696,Tower Hamlets,5,537418,182866,1,Driver/Rider,Male,40-44,42,1,Slight,Not Applicable,Not Applicable,Car
1210287698,Brent,28,520481,189875,1,Pedestrian,Female,60-64,62,1,Slight,Unknown Or Other,Unknown Or Other,Pedestrian
1210287700,Hounslow,25,510087,174080,1,Driver/Rider,Female,55-59,59,1,Slight,Not Applicable,Not Applicable,Car
1210287701,Sutton,21,530851,164238,1,Driver/Rider,Female,35-39,36,1,Slight,Not Applicable,Not Applicable,Car
1210287702,Tower Hamlets,5,535833,183338,1,Driver/Rider,Male,65-69,69,1,Slight,Not Applicable,Not Applicable,Car
1210287704,Tower Hamlets,5,535929,183406,1,Driver/Rider,Male,30-34,31,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287713,Wandsworth,10,527487,171499,1,Driver/Rider,Male,45-49,49,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287713,Wandsworth,10,527487,171499,2,Pedestrian,Male,35-39,38,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian
1210287714,Ealing,27,512936,182786,1,Driver/Rider,Male,25-29,26,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287717,Wandsworth,10,529051,171859,1,Driver/Rider,Male,35-39,37,1,Serious,Not Applicable,Not Applicable,Pedal Cycle
1210287725,Enfield,32,531969,197527,1,Driver/Rider,Female,25-29,25,1,Slight,Not Applicable,Not Applicable,Car
1210287726,Merton,22,527920,170182,1,Driver/Rider,Male,25-29,28,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287737,Lambeth,9,532502,176467,1,Pedestrian,Male,50-54,50,1,Slight,On Footpath - Verge,Unknown Or Other,Pedestrian
1210287738,Bromley,19,542333,170298,1,Driver/Rider,Male,50-54,53,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287740,Brent,28,518851,183931,1,Driver/Rider,Male,30-34,32,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287741,Newham,17,538437,183699,1,Driver/Rider,Male,40-44,42,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287743,Barnet,30,523955,188883,1,Driver/Rider,Male,70-74,74,1,Slight,Not Applicable,Not Applicable,Car
1210287745,Enfield,32,536041,195383,1,Driver/Rider,Female,25-29,25,1,Slight,Not Applicable,Not Applicable,Car
1210287753,Kingston-Upon-Thames,23,520756,168282,1,Driver/Rider,Male,35-39,39,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287755,Hammersmith & Fulham,11,522811,181862,1,Driver/Rider,Female,25-29,25,1,Slight,Not Applicable,Not Applicable,Car
1210287756,Lambeth,9,531219,172466,1,Driver/Rider,Male,25-29,25,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287758,Hounslow,25,510872,173769,1,Driver/Rider,Male,15-19,18,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287761,Hounslow,25,512314,175112,1,Driver/Rider,Male,30-34,32,1,Slight,Not Applicable,Not Applicable,Car
1210287762,Islington,3,531257,186623,1,Passenger,Female,15-19,19,1,Slight,Not Applicable,Not Applicable,Bus Or Coach
1210287764,Ealing,27,517386,180634,1,Driver/Rider,Male,35-39,38,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287767,Ealing,27,521497,180082,1,Driver/Rider,Male,20-24,22,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287768,Brent,28,523574,183340,1,Driver/Rider,Male,35-39,38,1,Slight,Not Applicable,Not Applicable,Car
