time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,lad_code,lad_name,fsm,area_of_learning,number_of_pupils,at_least_expected_number,at_least_expected_percent
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000018,Nottingham,FSM,Communication and Language,882,668,76
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000018,Nottingham,All other pupils,Communication and Language,2857,2367,83
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,Nottinghamshire,Total,Communication and Language,9336,7642,82
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,Nottinghamshire,FSM,Communication and Language,1184,787,66
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,Nottinghamshire,All other pupils,Communication and Language,8152,6855,84
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000017,Rutland,Total,Communication and Language,392,333,85
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000017,Rutland,FSM,Communication and Language,12,7,58
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000017,Rutland,All other pupils,Communication and Language,380,326,86
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000025,Birmingham,Total,Communication and Language,15785,12195,77
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000025,Birmingham,FSM,Communication and Language,4056,2924,72
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000025,Birmingham,All other pupils,Communication and Language,11729,9271,79
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000026,Coventry,Total,Communication and Language,4354,3374,77
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000026,Coventry,FSM,Communication and Language,522,357,68
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000026,Coventry,All other pupils,Communication and Language,3832,3017,79
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000027,Dudley,Total,Communication and Language,3890,2994,77
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000027,Dudley,FSM,Communication and Language,577,343,59
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000027,Dudley,All other pupils,Communication and Language,3313,2651,80
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000019,Herefordshire,Total,Communication and Language,1850,1553,84
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000019,Herefordshire,FSM,Communication and Language,233,152,65
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000019,Herefordshire,All other pupils,Communication and Language,1617,1401,87
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000028,Sandwell,Total,Communication and Language,4686,3650,78
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000028,Sandwell,FSM,Communication and Language,914,660,72
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000028,Sandwell,All other pupils,Communication and Language,3772,2990,79
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000051,Shropshire,Total,Communication and Language,2926,2471,84
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000051,Shropshire,FSM,Communication and Language,291,208,71
201819,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000051,Shropshire,All other pupils,Communication and Language,2635,2263,86
