time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,lad_code,lad_name,all_pupils,elg_number,elg_percent,gld_number,gld_percent,point_score,average_point_score
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000118,Chorley,1285,901,70,911,71,44424,34.6
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000119,Fylde,696,520,75,530,76,25506,36.6
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000120,Hyndburn,1049,678,65,705,67,34623,33
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000121,Lancaster,1480,1014,69,1038,70,50848,34.4
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000122,Pendle,1273,737,58,794,62,41063,32.3
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000123,Preston,1854,1218,66,1267,68,62599,33.8
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000124,Ribble Valley,554,404,73,409,74,19797,35.7
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000125,Rossendale,882,613,70,624,71,30423,34.5
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000126,South Ribble,1255,882,70,896,71,43066,34.3
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000127,West Lancashire,1152,805,70,817,71,40087,34.8
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E07000128,Wyre,1038,736,71,741,71,36519,35.2
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E08000001,Bolton,3918,2558,65,2626,67,132323,33.8
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E08000002,Bury,2385,1686,71,1709,72,84842,35.6
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E08000003,Manchester,7147,4571,64,4675,65,235071,32.9
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E08000004,Oldham ,3341,2208,66,2271,68,109606,32.8
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E08000005,Rochdale,3048,1964,64,2025,66,101084,33.2
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E08000006,Salford,3109,2055,66,2102,68,103254,33.2
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E08000007,Stockport,3524,2432,69,2475,70,123343,35
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E08000008,Tameside,2927,1929,66,1973,67,95375,32.6
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E08000009,Trafford,2929,2182,74,2206,75,108515,37
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E08000010,Wigan,3734,2493,67,2546,68,124091,33.2
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E08000011,Knowsley ,1823,1213,67,1241,68,61483,33.7
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E08000012,Liverpool,5410,3423,63,3497,65,180184,33.3
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E08000013,St Helens,2025,1383,68,1420,70,68536,33.8
201819,Academic year,Local authority district,E92000001,England,E12000002,North West,E08000014,Sefton,2988,2038,68,2070,69,101036,33.8
